AcademicYear,FacultyID,DepartmentCode,EntryTypeID,EntryGroupID,TCAS,EntryGPA,StudentTH,GPAX,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,Sex,HomeRegion,Country,SchoolRegionNameEng,ReligionName
0,0,0,0.5084745763,0.01888395808,1,0.0575,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,China,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.875,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Male,International,Korea,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.7795484022,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Male,International,China,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.7795484022,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,China,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.7795484022,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,Thailand,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.425,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,China,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.7795484022,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,Korea,Northern,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.7795484022,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,,,,,
0,0,0,0.5084745763,0.01888395808,1,0,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,,,,,
0,0,0,0.5084745763,0.01888395808,1,0.725,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,Korea,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Male,International,China,Northern,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Male,International,United Kingdom of Great Britain and Northern Ireland,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.93,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Male,International,China,Foreign,พุทธ
0,0,0,0.5084745763,0.01888395808,1,0.8375,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,,,,,
0,0,0,0.5084745763,0.01888395808,1,0.5,0,0,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,International,China,Foreign,พุทธ
0,0,0.0006675567423,0,0.0009441979039,0.25,0.9025,1,0.9025,0.9815384615,0.8112676056,0.825443787,0.9575757576,,,,,
0,0,0.0006675567423,0,0.0009441979039,0.25,0.7725,1,0.76,0.9230769231,0.5211267606,0.3343195266,0.6424242424,Female,International,United States of America,Foreign,พุทธ
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.975,1,0.98,1,0.9098591549,0.9733727811,1,,,,,
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.8625,1,0.865,0.9723076923,0.538028169,0.7781065089,0.9,Female,International,China,Northern,พุทธ
0,0,0.0006675567423,0,0.0009441979039,0.25,0.8275,1,0.85,0.9169230769,0.5211267606,0.7928994083,0.6727272727,Male,International,China,Foreign,พุทธ
0,0,0.0006675567423,0,0.0009441979039,0.25,0.8025,1,0.805,0.8769230769,0.6422535211,0.7189349112,0.796969697,,,,,
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.7425,1,0.735,0.9076923077,0.3521126761,0.6597633136,0.8303030303,,,,,
0,0,0.0006675567423,0,0.0009441979039,0.25,0.96,1,0.9575,1,0.9718309859,0.8964497041,1,,,,,
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.93,1,0.9225,0.8738461538,0.7464788732,0.9408284024,0.9090909091,,,,,
0,0,0.0006675567423,0,0.0009441979039,0.25,0.6175,1,0.63,0.9815384615,0.2112676056,0.4082840237,0.5787878788,,,,,
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.8875,1,0.865,0.9692307692,0.7042253521,0.674556213,0.9,,,,,
0,0,0.0006675567423,0,0.0009441979039,0.25,0.91,1,0.91,0.9907692308,0.7915492958,0.8017751479,0.9727272727,Female,North,Thailand,Northern,พุทธ
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.945,1,0.945,1,0.985915493,0.8372781065,1,Male,North,Thailand,Northern,พุทธ
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.9075,1,0.9075,0.8646153846,0.8309859155,0.9112426036,0.9090909091,Female,North,Thailand,Northern,พุทธ
0,0,0.0006675567423,0.2372881356,0.003776791616,0,0.7795484022,1,0.6996622783,0.778625783,0.6687370619,0.7049111712,0.8352842568,Female,North,Thailand,Northern,คริสต์
0,0,0.0006675567423,0,0.0009441979039,0.25,0.7125,1,0.71,0.84,0.4507042254,0.4289940828,0.9,Female,North,Thailand,Northern,พุทธ
0,0,0.0006675567423,0.3220338983,9.44E-05,0,0.79,1,0.7725,0.9753846154,0.7352112676,0.5295857988,0.7818181818,Female,North,Thailand,Northern,พุทธ
0,0,0.0006675567423,0,0.0009441979039,0.25,0.8125,1,0.82,1,0.7014084507,0.674556213,0.8727272727,Female,North East,Thailand,Northeast,พุทธ
0,0,0.0006675567423,0,0.0009441979039,0.25,0.7125,1,0.7275,0.8707692308,0.5887323944,0.4704142012,0.7363636364,Female,North,Thailand,Northern,พุทธ
